id,price,bedrooms,bathrooms,sqm_living,sqm_lot,waterfront
1,221900,3,1,109.6246748,524.8978075,0
2,538000,3,2.25,238.7588257,672.7982163,0
3,180000,2,1,71.53474545,929.0226682,0
4,604000,4,3,182.088443,464.5113341,0
5,510000,3,2,156.0758082,750.6503159,0
6,1225000,4,4.5,503.5302861,9469.528056,0
7,257500,3,2.25,159.3273876,633.5005574,0
8,291850,3,1.5,98.47640282,902.173913,0
9,229500,3,1,165.3660349,693.9799331,0
10,323000,3,2.5,175.5852843,609.4388703,0
11,662500,3,2.5,330.7320699,910.0706057,0
12,468000,2,1,107.7666295,557.4136009,0
13,310000,3,1,132.8502415,1848.848012,0
14,400000,3,1.75,127.2761055,899.2939428,0
15,530000,5,2,168.1531029,450.5759941,0
16,650000,4,3,274.0616871,464.5113341,0
17,395000,3,2,175.5852843,1304.347826,0
18,485000,4,1,148.6436269,399.4797473,0
19,189000,2,1,111.4827202,915.0873281,0
20,230000,3,1,116.1278335,908.0267559,0
21,385000,4,1.75,150.5016722,462.6532887,0
22,2000000,3,2.75,283.3519138,4168.246005,0
23,285000,5,2.5,210.8881457,585.2842809,0
24,252700,2,1.5,99.40542549,895.8565589,0
25,329000,3,2.25,227.6105537,603.8647343,0
26,233000,3,2,158.8628763,436.3619472,0
27,937000,3,1.75,227.6105537,250,0
28,667000,3,1,130.0631735,146.8784838,0
29,438000,3,1.75,141.2114456,592.7164623,0
30,719000,4,2.5,238.7588257,666.3879599,0
31,580500,3,2.5,215.533259,369.7510219,0
32,280000,2,1.5,110.5536975,117.5213675,0
33,687500,4,1.75,216.4622817,464.5113341,0
34,535000,3,1,101.2634708,278.7068004,0
35,322500,4,2.75,191.3786696,618.6361947,0
36,696000,3,2.5,213.6752137,284.2809365,0
37,550000,4,1,154.2177629,3237.458194,0
38,640000,4,2,219.2493497,557.4136009,0
39,240000,4,1,113.3407655,750.1858045,0
40,605000,4,2.5,243.4039391,701.6908213,0
41,625000,4,2.5,238.7588257,512.8205128,0
42,775000,4,2.25,392.047566,2246.934225,0
43,861990,5,2.75,333.9836492,523.8758826,0
44,685000,3,1,145.8565589,211.8171683,0
45,309000,3,1,118.9149015,897.0642884,0
46,488000,3,2.5,293.5711631,1263.749535,0
47,210490,3,1,91.97324415,792.2705314,0
48,785000,4,2.5,212.746191,1246.376812,0
49,450000,3,1.75,116.1278335,553.976217,0
50,1350000,3,2.5,255.7599405,6039.111854,1
51,228000,3,1,110.5536975,854.6079524,0
52,345000,5,2.5,292.6421405,848.5693051,0
53,600000,3,1.75,130.9921962,379.0412486,0
54,585000,2,1.75,183.9464883,794.3143813,0
55,920000,5,2.25,253.6231884,557.4136009,0
56,885000,4,2.5,262.9134151,464.5113341,0
57,292500,4,2.5,209.0301003,417.5956893,0
58,301000,3,2.5,224.8234857,441.2857674,0
59,951000,5,3.25,301.9323671,1332.404311,0
60,430000,4,3,171.8691936,926.7930137,0
61,650000,3,2.25,199.7398737,1972.779636,0
62,289000,3,1.75,117.0568562,780.3790412,0
63,505000,3,1.75,234.0208101,807.3206986,0
64,549000,3,1.75,143.0694909,96.98996656,0
65,425000,3,2.25,154.2177629,557.4136009,0
66,317625,3,2.75,257.3392791,353.8647343,0
